ano;mes;uo;pessoal
2015;1;1071;601516,96
2015;1;1081;9913554,43
2015;1;1101;431352,7
2015;1;1111;52448,81
2015;1;1141;20407,15
2015;1;1161;7986
2015;1;1191;86623706,57
2015;1;1221;406657,86
2015;1;1231;776852,05
2015;1;1251;714850479,8
2015;1;1261;570394759,5
2015;1;1271;934708,47
2015;1;1301;966147,49
2015;1;1371;4221750,26
2015;1;1401;71653739,56
2015;1;1411;1028563,32
2015;1;1451;120142301,8
2015;1;1461;862624,95
2015;1;1471;545103,17
2015;1;1481;3020783,56
2015;1;1491;1620327,27
2015;1;1501;9572716,72
2015;1;1511;119321748
2015;1;1521;1267092,14
2015;1;1541;654124,86
2015;1;1571;1101162,8
2015;1;1591;194455,53
2015;1;1601;1123795,96
2015;1;1631;921139,99
2015;1;1941;13926184,34
2015;1;2011;18077529,24
2015;1;2041;174070,54
2015;1;2061;2056437,3
2015;1;2071;478337,72
2015;1;2091;1108895,54
2015;1;2101;4333043,25
2015;1;2111;582417,58
2015;1;2121;99182462,99
2015;1;2141;1543189,44
2015;1;2151;755812,48
2015;1;2161;224473,3
2015;1;2171;173755,6
2015;1;2181;1726487,14
2015;1;2201;593912,38
2015;1;2211;1041178,91
2015;1;2241;681112,25
2015;1;2251;1122546,9
2015;1;2261;4882681,72
2015;1;2271;64548886,6
2015;1;2281;669316,72
2015;1;2301;10503957,62
2015;1;2311;18085414,84
2015;1;2321;7211379,36
2015;1;2331;1277021,92
2015;1;2351;8851863,24
2015;1;2371;9760630,64
2015;1;2381;44777,85
2015;1;2391;1065741,97
2015;1;2401;564975,41
2015;1;2421;558601,05
2015;1;2431;345961,8
2015;1;2441;790660,83
2015;1;2451;203253,07
2015;1;2461;158036,75
2015;1;3041;22652007,72
2015;1;3051;5471079,18
2015;1;3151;450993,64
2015;1;4291;31766075,96
2015;1;4461;693688808,6
2015;2;1071;598197,21
2015;2;1081;9022381,72
2015;2;1101;383277,43
2015;2;1111;45304,51
2015;2;1141;14644,98
2015;2;1161;7986
2015;2;1191;84714974,12
2015;2;1221;355704,49
2015;2;1231;701590,12
2015;2;1251;669101715,4
2015;2;1261;434147929,5
2015;2;1271;915714,75
2015;2;1301;843601,5
2015;2;1371;4726305,39
2015;2;1401;65453545,51
2015;2;1411;1040331,45
2015;2;1451;108858398
2015;2;1461;661791,66
2015;2;1471;465185,69
2015;2;1481;2790344,27
2015;2;1491;1416168,82
2015;2;1501;8949931,67
2015;2;1511;111119821,1
2015;2;1521;1198318,76
2015;2;1541;571583,48
2015;2;1571;926132,74
2015;2;1591;150693,54
2015;2;1601;367235,19
2015;2;1631;754279,97
2015;2;1941;14537496,15
2015;2;2011;17020055,56
2015;2;2041;146973,79
2015;2;2061;2045640,49
2015;2;2071;379032,57
2015;2;2091;1098182,92
2015;2;2101;4224931,57
2015;2;2111;534066,79
2015;2;2121;89128104,7
2015;2;2141;1485905,41
2015;2;2151;550844,55
2015;2;2161;192608,7
2015;2;2171;203081,89
2015;2;2181;1537533,64
2015;2;2201;584936,74
2015;2;2211;982119,72
2015;2;2241;669965,16
2015;2;2251;1039088,54
2015;2;2261;4526809,39
2015;2;2271;62343157,59
2015;2;2281;424223,03
2015;2;2301;9595888,29
2015;2;2311;13927726,78
2015;2;2321;8668831,21
2015;2;2331;1206089,5
2015;2;2351;7173576,12
2015;2;2371;9192384,83
2015;2;2381;43065,92
2015;2;2391;947921,88
2015;2;2401;488841,11
2015;2;2421;470660,15
2015;2;2431;320120,14
2015;2;2441;738115,67
2015;2;2451;161617,16
2015;2;2461;160662,72
2015;2;3041;16125915,94
2015;2;3051;5564284,72
2015;2;3151;482665,81
2015;2;4291;30113709,75
2015;2;4461;679126396,6
2015;3;1071;631342,05
2015;3;1081;10571349,31
2015;3;1101;379141,11
2015;3;1111;52292,31
2015;3;1141;11998,95
2015;3;1161;7986
2015;3;1191;81704428,66
2015;3;1221;463162,49
2015;3;1231;653796,25
2015;3;1251;688393140,6
2015;3;1261;466810382,5
2015;3;1271;837503,26
2015;3;1301;719923,57
2015;3;1371;4434656,5
2015;3;1401;65140623,01
2015;3;1411;941778,16
2015;3;1451;111650927,3
2015;3;1461;727382,16
2015;3;1471;599443,78
2015;3;1481;2708538,96
2015;3;1491;1401733,12
2015;3;1501;9716045,2
2015;3;1511;110741848
2015;3;1521;1274614,89
2015;3;1541;606168,8
2015;3;1571;927279,14
2015;3;1591;135305,53
2015;3;1601;305292,67
2015;3;1631;831813,76
2015;3;1941;16957467,27
2015;3;2011;17233464,23
2015;3;2041;144597,04
2015;3;2061;2065020,88
2015;3;2071;385182,24
2015;3;2091;1046800,77
2015;3;2101;4385353,61
2015;3;2111;528614,09
2015;3;2121;90517113,5
2015;3;2141;1334436,87
2015;3;2151;576000,7
2015;3;2161;196403,48
2015;3;2171;198601,49
2015;3;2181;1609894,9
2015;3;2201;609061,11
2015;3;2211;1002021,58
2015;3;2241;658738,11
2015;3;2251;1027945,66
2015;3;2261;4634592,31
2015;3;2271;62815539,71
2015;3;2281;474997,17
2015;3;2301;9225103,17
2015;3;2311;14461802,81
2015;3;2321;7801251,87
2015;3;2331;1167503
2015;3;2351;10784606,5
2015;3;2371;9390863,07
2015;3;2381;39957,39
2015;3;2391;1222012,03
2015;3;2401;468671,09
2015;3;2421;451758,21
2015;3;2431;280388,82
2015;3;2441;771409,84
2015;3;2451;145179
2015;3;2461;119120,4
2015;3;3041;17864147,91
2015;3;3051;5502718,13
2015;3;3151;465991,94
2015;3;4291;28092812,82
2015;3;4461;684774581,2
2015;4;1071;623178,96
2015;4;1081;10766382
2015;4;1101;360920,82
2015;4;1111;56856,37
2015;4;1141;11998,95
2015;4;1161;7986
2015;4;1191;81992425,63
2015;4;1221;408783,88
2015;4;1231;640411,95
2015;4;1251;762283414,3
2015;4;1261;460731866,9
2015;4;1271;837356,85
2015;4;1301;728713,02
2015;4;1371;5111703,19
2015;4;1401;74419853,56
2015;4;1411;895599,24
2015;4;1451;128032817,5
2015;4;1461;739944,68
2015;4;1471;520122,39
2015;4;1481;2588198,7
2015;4;1491;1456077,85
2015;4;1501;9397813,41
2015;4;1511;120296983,1
2015;4;1521;1365958,92
2015;4;1541;593832,47
2015;4;1571;843754,64
2015;4;1591;124524,76
2015;4;1601;77373,1
2015;4;1631;806522,33
2015;4;1651;60991,46
2015;4;1941;14626411,25
2015;4;2011;17752923,7
2015;4;2041;137028,31
2015;4;2061;2176723,81
2015;4;2071;372190,73
2015;4;2091;1188221,61
2015;4;2101;4596813,26
2015;4;2111;523710,4
2015;4;2121;103741262,9
2015;4;2141;1282799,98
2015;4;2151;599683,53
2015;4;2161;204640,35
2015;4;2171;175316,34
2015;4;2181;1523854,99
2015;4;2201;574361,91
2015;4;2211;1036472,36
2015;4;2241;710641,26
2015;4;2251;1036461,11
2015;4;2261;4630983,12
2015;4;2271;63573626,29
2015;4;2281;515918,91
2015;4;2301;8731613,1
2015;4;2311;14267899,17
2015;4;2321;7677131,81
2015;4;2331;1135495,2
2015;4;2351;9729759,59
2015;4;2371;9004853,14
2015;4;2381;43215,71
2015;4;2391;1019767,99
2015;4;2401;475813,46
2015;4;2421;516273,37
2015;4;2431;246449,87
2015;4;2441;784200,39
2015;4;2451;132750,69
2015;4;2461;97626,7
2015;4;4291;28170097,38
2015;4;4461;708720425,2
